Country,Year,Costs
United States,1992,325033.735954804
United States,1993,316719.443747423
United States,1994,308084
United States,1995,295853.097724661
United States,1996,287960.66867894
United States,1997,293167.825790971
United States,1998,290996.055088378
United States,1999,298094.891322404
United States,2000,320086.324211196
United States,2001,331805.610572137
United States,2002,378463.138753841
United States,2003,440532.069586192
United States,2004,492999.376159397
United States,2005,533203
United States,2006,558335
United States,2007,589586
United States,2008,656756
United States,2009,705917
United States,2010,738005
United States,2011,752288
United States,2012,725205
United States,2013,679229
United States,2014,647789
United States,2015,633829.639
United States,2016,639856.443
United States,2017,646752.927
United States,2018,682491.4
United States,2019,734344.1
United States,2020,778397.2
United States,2021,806230.2
United States,2022,876943.2
China,1992,12244.267842215
China,1993,12360.225860645
China,1994,9867.120066274
China,1995,12385.129474987
China,1996,14275.400819973
China,1997,15699.586768575
China,1998,17031.780199692
China,1999,20473.915094767
China,2000,22237.140151214
China,2001,26561.462998292
China,2002,30284.127409997
China,2003,33144.000481446
China,2004,37904.571826996
China,2005,42789.953650902
China,2006,51453.373233849
China,2007,62136.590754589
China,2008,78840.802819863
China,2009,96601.666752954
China,2010,105522.648101838
China,2011,125286.373164011
China,2012,145127.609596207
China,2013,164070.469321744
China,2014,182109.20461908
China,2015,196538.82723079
China,2016,198538.361427554
China,2017,210443.034740968
China,2018,232530.595985266
China,2019,240332.555458151
China,2020,257973.429833565
China,2021,285930.518056053
China,2022,291958.42846021
Russia,1992,0
Russia,1993,7766.720078413
Russia,1994,13547.871733425
Russia,1995,12741.629470406
Russia,1996,15826.340651808
Russia,1997,17577.353180647
Russia,1998,7955.730400986
Russia,1999,6469.035211353
Russia,2000,9228.204143737
Russia,2001,11683.151344773
Russia,2002,13943.825063400
Russia,2003,16973.739085104
Russia,2004,20955.413570628
Russia,2005,27336.977273692
Russia,2006,34517.781618918
Russia,2007,43534.994996247
Russia,2008,56183.785393254
Russia,2009,51532.116797520
Russia,2010,58720.227608758
Russia,2011,70237.523951495
Russia,2012,81469.399931258
Russia,2013,88352.896463560
Russia,2014,84696.504653498
Russia,2015,66421.822179921
Russia,2016,69245.294552847
Russia,2017,66913.033536783
Russia,2018,61609.204756417
Russia,2019,65201.335848356
Russia,2020,61712.537168937
Russia,2021,65907.705047104
Russia,2022,86373.102251413
India,1992,8083.231409710
India,1993,8253.542581485
India,1994,8880.551226027
India,1995,9754.464629893
India,1996,9904.672736304
India,1997,11464.883389832
India,1998,11920.610818383
India,1999,13895.562461387
India,2000,14287.514240703
India,2001,14600.642346100
India,2002,14749.667251591
India,2003,16333.986643282
India,2004,20238.566526541
India,2005,23072.312925170
India,2006,23951.927958152
India,2007,28254.773450065
India,2008,33002.376727380
India,2009,38722.154392184
India,2010,46090.445656500
India,2011,49633.815793703
India,2012,47216.920048206
India,2013,47403.528801423
India,2014,50914.096277083
India,2015,51295.483753944
India,2016,56637.622640874
India,2017,64559.435280693
India,2018,66257.801718275
India,2019,71468.900524304
India,2020,72937.064047799
India,2021,76348.538793921
India,2022,81363.188268803
Saudi Arabia,1992,15360.266666667
Saudi Arabia,1993,16451.2
Saudi Arabia,1994,14279.733333333
Saudi Arabia,1995,13200.266666667
Saudi Arabia,1996,13340
Saudi Arabia,1997,18126.666666667
Saudi Arabia,1998,20861.6
Saudi Arabia,1999,18320
Saudi Arabia,2000,19964.266666667
Saudi Arabia,2001,21026.666666667
Saudi Arabia,2002,18501.866666667
Saudi Arabia,2003,18747.466666667
Saudi Arabia,2004,20910.4
Saudi Arabia,2005,25392.038600724
Saudi Arabia,2006,29580.507343124
Saudi Arabia,2007,35469.513008672
Saudi Arabia,2008,38222.933333333
Saudi Arabia,2009,41267.2
Saudi Arabia,2010,45244.533333333
Saudi Arabia,2011,48530.933333333
Saudi Arabia,2012,56497.866666667
Saudi Arabia,2013,67020
Saudi Arabia,2014,80762.4
Saudi Arabia,2015,87185.866666667
Saudi Arabia,2016,63672.8
Saudi Arabia,2017,70400
Saudi Arabia,2018,74612.266666667
Saudi Arabia,2019,65362.666666667
Saudi Arabia,2020,64558.4
Saudi Arabia,2021,63194.666666667
Saudi Arabia,2022,75013.333333333
United Kingdom,1992,45592.591817977
United Kingdom,1993,38113.206791460
United Kingdom,1994,38569.013504857
United Kingdom,1995,38294.283079835
United Kingdom,1996,38566.134645392
United Kingdom,1997,39889.947448983
United Kingdom,1998,41222.125832621
United Kingdom,1999,40760.400666566
United Kingdom,2000,39343.711272578
United Kingdom,2001,39512.579943650
United Kingdom,2002,44245.265998309
United Kingdom,2003,52343.122277067
United Kingdom,2004,60250.782544703
United Kingdom,2005,61653.635038462
United Kingdom,2006,64217.619528327
United Kingdom,2007,73448.032014166
United Kingdom,2008,72915.407669740
United Kingdom,2009,64010.506669801
United Kingdom,2010,63979.111970269
United Kingdom,2011,66569.552573135
United Kingdom,2012,65452.487554242
United Kingdom,2013,63837.724855431
United Kingdom,2014,66995.468654289
United Kingdom,2015,59990.205719324
United Kingdom,2016,53327.366087713
United Kingdom,2017,52075.008432054
United Kingdom,2018,55832.916405249
United Kingdom,2019,56567.602040816
United Kingdom,2020,58332.371794872
United Kingdom,2021,67500.687757909
United Kingdom,2022,68462.578611612
Germany,1992,39502.452271267
Germany,1993,35030.537589372
Germany,1994,34197.705639668
Germany,1995,38742.699102550
Germany,1996,36701.189772001
Germany,1997,31267.710403056
Germany,1998,31200.768077998
Germany,1999,30690.158425581
Germany,2000,26497.593164389
Germany,2001,25815.401959228
Germany,2002,27611.355672438
Germany,2003,32997.363017130
Germany,2004,35776.573894108
Germany,2005,30324.965179326
Germany,2006,35883.657972680
Germany,2007,40110.859276413
Germany,2008,45098.956311568
Germany,2009,44528.927835653
Germany,2010,43025.915011688
Germany,2011,45163.212878203
Germany,2012,43798.225349290
Germany,2013,44242.647302894
Germany,2014,44662.831167684
Germany,2015,38170.021071310
Germany,2016,39909.678594248
Germany,2017,42281.112684641
Germany,2018,46497.675955762
Germany,2019,49079.444693238
Germany,2020,53318.705117976
Germany,2021,56513.126773888
Germany,2022,55759.747827038
France,1992,37902.269820780
France,1993,35775.273292887
France,1994,37288.606059734
France,1995,40124.024138370
France,1996,38977.734095775
France,1997,34697.904099180
France,1998,33633.561283229
France,1999,32672.714284849
France,2000,28403.138948706
France,2001,27951.566384416
France,2002,30578.398932822
France,2003,38569.115812936
France,2004,44524.579612600
France,2005,44442.050523139
France,2006,45792.148415524
France,2007,50684.467384423
France,2008,55365.965844831
France,2009,56441.455398191
France,2010,52044.060565052
France,2011,54120.871009502
France,2012,50216.507403166
France,2013,52001.462447664
France,2014,53134.750898802
France,2015,45647.471640501
France,2016,47370.589552631
France,2017,49195.662250320
France,2018,51409.812838592
France,2019,50118.929211935
France,2020,52747.064858087
France,2021,56646.996215705
France,2022,53638.748769426
